               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.044843,            0.015864,           0.0039668,             0.79175,             0.68186,             0.79632,             0.35848,            0.042054,            0.010661,           0.0011313,           0.0082675,           0.0082675,           0.0082675
                  37,             0.04347,            0.016298,           0.0038508,             0.80473,             0.57851,              0.7249,             0.33248,            0.041802,            0.011898,              0.0018,            0.008218,            0.008218,            0.008218
                  38,            0.043703,            0.015917,           0.0044617,             0.76219,             0.67234,             0.78919,             0.36429,            0.040447,            0.010971,            0.002926,           0.0081685,           0.0081685,           0.0081685
                  39,            0.043364,            0.015123,           0.0040654,             0.82491,             0.64134,             0.73675,             0.30343,            0.045644,            0.011741,           0.0023622,            0.008119,            0.008119,            0.008119
                  40,            0.042707,             0.01455,           0.0042855,             0.87195,             0.67322,             0.79228,             0.34833,            0.041608,            0.011107,           0.0018767,           0.0080695,           0.0080695,           0.0080695
                  41,            0.041887,            0.015248,           0.0040522,              0.8357,             0.71503,             0.78972,             0.38755,             0.04229,            0.010856,            0.002475,             0.00802,             0.00802,             0.00802
                  42,            0.041898,            0.014887,           0.0041886,             0.88801,             0.68182,             0.80478,             0.37778,            0.042719,            0.010311,           0.0015815,           0.0079705,           0.0079705,           0.0079705
                  43,            0.042401,            0.014785,           0.0033574,             0.77543,             0.72261,             0.80439,             0.36154,            0.042694,            0.010947,           0.0030566,            0.007921,            0.007921,            0.007921
                  44,            0.041322,            0.014383,           0.0045313,             0.85842,             0.71553,             0.80731,             0.38512,            0.040866,            0.010584,           0.0030761,           0.0078715,           0.0078715,           0.0078715
                  45,            0.042095,            0.013963,           0.0038868,             0.89365,             0.74017,             0.82811,             0.37214,            0.041512,            0.010884,           0.0028811,            0.007822,            0.007822,            0.007822
                  46,            0.040057,            0.014352,           0.0035522,             0.82376,             0.70817,             0.80035,             0.37437,            0.041694,            0.010787,           0.0013068,           0.0077725,           0.0077725,           0.0077725
